"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
8.011884375E0,-2.308721542E-1,-2.747846246E-1,-9.706648588E-1
8.032000000E0,-2.630036771E-1,-2.155830711E-1,-9.705775976E-1
8.056000000E0,-2.311165035E-1,-1.392074674E-1,-9.725672603E-1
8.079884375E0,-1.247212291E-1,-6.323327869E-2,-9.694431424E-1
8.100000000E0,-1.057669520E-2,-6.806784077E-4,-9.642944336E-1
8.124000000E0,1.033060402E-1,6.970845163E-2,-9.472774267E-1
8.147882812E0,1.566258520E-1,1.405164599E-1,-9.012880325E-1
8.168125000E0,1.478817463E-1,2.005732358E-1,-8.533787131E-1
8.192000000E0,1.047895700E-1,2.693915665E-1,-7.896567583E-1
8.215884375E0,5.126031861E-2,3.393792808E-1,-7.163529396E-1
8.236000000E0,6.073745899E-3,3.969751298E-1,-6.684960127E-1
8.260000000E0,-4.068362340E-2,4.669104815E-1,-6.144082546E-1
8.283884375E0,-6.515314430E-2,5.401095748E-1,-5.578246713E-1
8.304000000E0,-5.354670063E-2,5.973389149E-1,-5.116781592E-1
8.328000000E0,1.029744279E-2,6.671870351E-1,-4.603655040E-1
8.351884375E0,1.165879965E-1,7.320434451E-1,-4.033804834E-1
8.372000000E0,2.034355700E-1,7.803366780E-1,-3.653148711E-1
8.396000000E0,2.689028680E-1,8.333598375E-1,-3.179989755E-1
8.419882812E0,2.757445574E-1,8.756491542E-1,-2.572440803E-1
8.439998437E0,2.437352240E-1,9.080948234E-1,-1.954245120E-1
8.464000000E0,1.872214675E-1,9.399819970E-1,-1.101651788E-1
8.487884375E0,1.285434961E-1,9.680119753E-1,2.984513063E-3
8.508000000E0,7.754497975E-2,9.855699539E-1,9.651670605E-2
8.532000000E0,1.750565320E-2,1.001958609E0,1.936442852E-1
8.555884375E0,-3.288200125E-2,1.014367938E0,2.853787839E-1
8.576000000E0,-6.257005036E-2,1.019045353E0,3.420670927E-1
8.600000000E0,-6.173229590E-2,1.021663427E0,3.953519762E-1
8.623884375E0,-1.977458037E-2,1.019429326E0,4.501902163E-1
8.644000000E0,2.267182618E-2,1.014856577E0,4.936489165E-1
8.668000000E0,6.094689667E-2,1.006356835E0,5.364618301E-1
8.691882812E0,5.579817668E-2,9.940696955E-1,5.904099941E-1
8.712000000E0,1.260127686E-2,9.828298092E-1,6.357012987E-1
8.736000000E0,-7.239625603E-2,9.637533426E-1,6.826680899E-1
8.759884375E0,-1.695761830E-1,9.399819970E-1,7.298443317E-1
8.780000000E0,-2.519208193E-1,9.193871021E-1,7.604573965E-1
8.804000000E0,-3.401472270E-1,8.923170567E-1,7.762875557E-1
8.827884375E0,-4.070631266E-1,8.624893427E-1,7.786088586E-1
8.848000000E0,-4.391946495E-1,8.381071091E-1,7.697949409E-1
8.868115625E0,-4.397880733E-1,8.106879592E-1,7.608588338E-1
8.891884375E0,-3.953519762E-1,7.769682407E-1,7.630230188E-1
8.911884375E0,-3.369707167E-1,7.457966208E-1,7.652919888E-1
8.932000000E0,-2.970550358E-1,7.129321098E-1,7.674736381E-1
8.955884375E0,-2.914874256E-1,6.706601977E-1,7.628484964E-1
8.975884375E0,-3.323456049E-1,6.287025213E-1,7.559195757E-1
8.995884375E0,-4.000992775E-1,5.837777257E-1,7.445225716E-1
9.016000000E0,-4.698077142E-1,5.351005197E-1,7.398450971E-1
9.039884375E0,-5.380849838E-1,4.703836739E-1,7.257078886E-1
9.060000000E0,-5.807932019E-1,4.115311801E-1,7.002609968E-1
9.084000000E0,-6.106383204E-1,3.397806883E-1,6.659303904E-1
9.107882812E0,-6.069557071E-1,2.615201473E-1,6.403263807E-1
9.128000000E0,-5.778959394E-1,1.972571164E-1,6.157521605E-1
9.152000000E0,-5.063549280E-1,1.145808622E-1,5.943893194E-1
9.175884375E0,-4.161737561E-1,3.457497060E-2,5.722236633E-1
9.196000000E0,-3.550174236E-1,-3.609341010E-2,5.415756702E-1
